companyName,companySize,companyRevenue
Northern Trust,"21,100","$6,488.00"
Robert Half International,"14,600","$6,461.00"
Compass,"4,775","$6,421.00"
Hasbro,"6,640","$6,420.00"
Roper Technologies,"19,300","$6,416.00"
ARKO,"11,236","$6,413.00"
Frontier Communications,"15,640","$6,411.00"
Ameren,"9,116","$6,394.00"
O-I Glass,"24,000","$6,357.00"
Chemours,"6,400","$6,345.00"
Crown Castle International,"5,000","$6,340.00"
Agilent Technologies,"17,000","$6,319.00"
McCormick,"14,000","$6,318.00"
Skechers U.S.A.,"8,950","$6,310.00"
Watsco,"6,875","$6,280.00"
Live Nation Entertainment,"16,200","$6,268.00"
Lululemon athletica,"29,000","$6,257.00"
ABM Industries,"124,000","$6,229.00"
Post Holdings,"10,735","$6,227.00"
Moody's,"13,460","$6,218.00"
Select Medical Holdings,"43,200","$6,205.00"
Alaska Air Group,"21,691","$6,176.00"
Big Lots,"23,350","$6,151.00"
Amkor Technology,"30,400","$6,138.00"
Sinclair Broadcast Group,"11,500","$6,134.00"
RPM International,"15,490","$6,106.00"
M&T Bank,"17,342","$6,106.00"
Sprouts Farmers Market,"31,000","$6,100.00"
Huntington Bancshares,"18,442","$6,080.00"
CACI International,"22,000","$6,044.00"
JetBlue Airways,"17,459","$6,037.00"
SVB Financial Group,"6,567","$6,027.00"
Fastenal,"18,370","$6,011.00"
GameStop,"22,500","$6,011.00"
Knight-Swift Transportation Holdings,"27,650","$5,998.00"
Airbnb,"6,132","$5,992.00"
Patterson,"7,800","$5,912.00"
Penn National Gaming,"21,973","$5,905.00"
ServiceNow,"16,881","$5,896.00"
Nasdaq,"5,814","$5,886.00"
Brunswick,"18,582","$5,846.00"
Resideo Technologies,"13,300","$5,846.00"
Chesapeake Energy,"1,300","$5,809.00"
Petco Health and Wellness,"28,495","$5,807.00"
Kemper,"10,300","$5,793.00"
Hilton Worldwide Holdings,"142,000","$5,788.00"
Cerner,"25,150","$5,765.00"
Levi Strauss,"16,600","$5,764.00"
Tapestry,"14,250","$5,746.00"
NetApp,"11,000","$5,744.00"
KB Home,"2,244","$5,725.00"
Continental Resources,"1,254","$5,719.00"
Intuitive Surgical,"9,793","$5,710.00"
Under Armour,"12,300","$5,684.00"
MDU Resources Group,"12,826","$5,681.00"
Silgan Holdings,"15,720","$5,677.00"
Ryerson Holding,"4,000","$5,675.00"
Ingersoll Rand,"16,000","$5,655.00"
Hologic,"6,705","$5,632.00"
Electronic Arts,"11,000","$5,629.00"
Zebra Technologies,"9,800","$5,627.00"
Coty,"11,430","$5,616.00"
Schneider National,"17,050","$5,609.00"
Sonoco Products,"20,500","$5,590.00"
Concentrix,"290,000","$5,587.00"
Evergy,"4,930","$5,587.00"
Cornerstone Building Brands,"21,700","$5,583.00"
Coca-Cola Consolidated,"15,050","$5,563.00"
Greif,"16,000","$5,556.00"
Vulcan Materials,"11,912","$5,552.00"
Ametek,"18,500","$5,547.00"
Monster Beverage,"3,775","$5,541.00"
Sealed Air,"16,500","$5,534.00"
NOV,"27,043","$5,524.00"
Las Vegas Sands,"44,600","$5,505.00"
Martin Marietta Materials,"10,000","$5,493.00"
Marathon Oil,"1,531","$5,467.00"
Mattel,"36,300","$5,458.00"
Microchip Technology,"19,500","$5,438.00"
Harley-Davidson,"5,800","$5,336.00"
Telephone & Data Systems,"8,800","$5,329.00"
ADT,"25,000","$5,307.00"
First Republic Bank,"6,295","$5,305.00"
Warner Music Group,"5,900","$5,301.00"
Pool,"5,650","$5,296.00"
Old Dominion Freight Line,"23,663","$5,256.00"
Fortive,"18,000","$5,255.00"
MDC Holdings,"2,080","$5,255.00"
NGL Energy Partners,997,"$5,243.00"
Edwards Lifesciences,"15,700","$5,233.00"
Hanover Insurance Group,"4,400","$5,228.00"
Syneos Health,"27,443","$5,213.00"
Xylem,"16,700","$5,195.00"
Church & Dwight,"5,100","$5,190.00"
American Axle & Manufacturing,"18,000","$5,157.00"
Meritage Homes,"1,773","$5,141.00"
Workday,"15,200","$5,139.00"
Rush Enterprises,"7,141","$5,126.00"
Yellow,"32,000","$5,122.00"
Encompass Health,"35,681","$5,122.00"
Simon Property Group,"2,850","$5,117.00"
Globe Life,"3,222","$5,113.00"
Skyworks Solutions,"10,945","$5,109.00"
Endeavor Group Holdings,"7,700","$5,078.00"
Twitter,"7,500","$5,078.00"
Leggett & Platt,"20,300","$5,073.00"
Western Union,"10,500","$5,071.00"
PerkinElmer,"16,700","$5,067.00"
SS&C Technologies Holdings,"24,900","$5,051.00"
CUNA Mutual Group,"4,100","$5,050.00"
FMC,"6,400","$5,045.00"
Carlisle,"11,250","$5,030.00"
American Eagle Outfitters,"24,000","$5,011.00"
Core & Main,"4,100","$5,004.00"
Vertiv Holdings,"24,000","$4,998.00"
Broadridge Financial Solutions,"13,704","$4,994.00"
Ingles Markets,"18,460","$4,988.00"
TPG,"1,013","$4,976.00"
Insperity,"3,600","$4,973.00"
Howmet Aerospace,"19,900","$4,972.00"
R.R. Donnelley & Sons,"32,000","$4,964.00"
Keysight Technologies,"14,300","$4,941.00"
Tempur Sealy International,"12,000","$4,931.00"
Scotts Miracle-Gro,"8,050","$4,925.00"
Equifax,"12,700","$4,924.00"
Kelly Services,"7,400","$4,910.00"
NiSource,"7,307","$4,900.00"
OneMain Holdings,"8,800","$4,895.00"
DoorDash,"8,600","$4,888.00"
Avient,"8,700","$4,819.00"
Sanderson Farms,"17,662","$4,800.00"
TransDigm Group,"13,300","$4,798.00"
Stifel Financial,"8,600","$4,783.00"
JELD-WEN Holding,"24,700","$4,772.00"
Ares Management,"2,100","$4,771.00"
Elanco Animal Health,"9,800","$4,765.00"
Prologis,"2,053","$4,759.00"
Welltower,464,"$4,742.00"
Darling Ingredients,"9,900","$4,741.00"
Juniper Networks,"10,191","$4,735.00"
Gartner,"16,600","$4,734.00"
Par Pacific Holdings,"1,336","$4,710.00"
Hubbell,"18,300","$4,704.00"
CME Group,"3,480","$4,690.00"
Nexstar Media Group,"11,817","$4,648.00"
Tutor Perini,"7,800","$4,642.00"
Antero Resources,519,"$4,619.00"
Teledyne Technologies,"14,500","$4,614.00"
Snap-on,"12,800","$4,602.00"
Rent-A-Center,"14,290","$4,584.00"
Covetrus,"4,873","$4,575.00"
Crestwood Equity Partners,645,"$4,569.00"
Louisiana-Pacific,"4,800","$4,553.00"
Urban Outfitters,"16,330","$4,549.00"
Penn Mutual Life Insurance,"3,194","$4,546.00"
Amerco,"22,052","$4,542.00"
TriNet Group,"2,800","$4,540.00"
Sentry Insurance Group,"4,064","$4,526.00"
Illumina,"10,775","$4,526.00"
Iron Mountain,"25,000","$4,492.00"
LCI Industries,"13,900","$4,473.00"
Marvell Technology,"6,712","$4,462.00"
PennyMac Financial Services,"7,208","$4,450.00"
Digital Realty Trust,"3,030","$4,428.00"
TreeHouse Foods,"10,000","$4,406.00"
Ralph Lauren,"16,200","$4,401.00"
Mattress Firm Group,"8,900","$4,393.00"
American National Group,"4,545","$4,392.00"
Autodesk,"12,600","$4,386.00"
Domino's Pizza,"10,450","$4,357.00"
ASGN,"3,900","$4,334.00"
Flowers Foods,"8,900","$4,331.00"
BlueLinx Holdings,"2,045","$4,277.00"
Palo Alto Networks,"10,473","$4,256.00"
Maximus,"35,800","$4,255.00"
Dentsply Sirona,"15,000","$4,251.00"
Hub Group,"4,700","$4,232.00"
Voya Financial,"5,970","$4,230.00"
Bread Financial Holdings,"6,000","$4,230.00"
Weis Markets,"24,000","$4,224.00"
Century Communities,"1,600","$4,216.00"
Synopsys,"16,361","$4,204.00"
Brink's,"73,350","$4,200.00"
Lennox International,"11,000","$4,194.00"
Service Corp. International,"20,840","$4,143.00"
Conduent,"60,000","$4,140.00"
Timken,"18,029","$4,133.00"
Domtar,"6,100","$4,132.00"
Bloomin' Brands,"82,000","$4,122.00"
CNO Financial Group,"3,350","$4,122.00"
Snap,"5,661","$4,117.00"
Zoom Video Communications,"6,787","$4,100.00"
Patrick Industries,"11,000","$4,078.00"
Paychex,"15,000","$4,057.00"
Atlas Air Worldwide Holdings,"4,056","$4,031.00"
Bright Health Group,"3,203","$4,029.00"
Peloton Interactive,"8,662","$4,022.00"
Country Financial,"3,149","$4,016.00"
Qorvo,"8,750","$4,015.00"
Catalent,"17,300","$3,998.00"
Mercury General,"4,300","$3,993.00"
AMN Healthcare Services,"3,800","$3,984.00"
Tri Pointe Homes,"1,390","$3,982.00"
ArcBest,"14,000","$3,980.00"
Toro,"10,982","$3,960.00"
Spirit AeroSystems Holdings,"16,100","$3,953.00"
Align Technology,"22,540","$3,953.00"
loanDepot,"11,307","$3,943.00"
APi Group,"13,300","$3,940.00"
American Water Works,"6,400","$3,930.00"
Matson,"4,259","$3,925.00"
Diebold Nixdorf,"22,000","$3,905.00"
Marriott Vacations Worldwide,"20,300","$3,890.00"
Terex,"8,600","$3,887.00"
Sally Beauty Holdings,"29,000","$3,875.00"
Enovis,"16,200","$3,854.00"
IAC/InterActiveCorp,"13,200","$3,845.00"
Meritor,"9,600","$3,833.00"
Ventas,434,"$3,828.00"
GoDaddy,"6,611","$3,816.00"
Regal Rexnord,"30,000","$3,810.00"
Puget Energy,"3,185","$3,806.00"
Clean Harbors,"18,300","$3,806.00"
Pinnacle West Capital,"5,872","$3,804.00"
eXp World Holdings,"1,669","$3,771.00"
Mueller Industries,"5,337","$3,769.00"
Wynn Resorts,"26,950","$3,764.00"
RH,"6,100","$3,759.00"
EPAM Systems,"58,824","$3,758.00"
M/I Homes,"1,657","$3,746.00"
Generac Holdings,"9,248","$3,737.00"
Mettler-Toledo International,"16,700","$3,718.00"
Abercrombie & Fitch,"19,250","$3,713.00"
Teradyne,"5,900","$3,703.00"
American Equity Investment Life Holding,850,"$3,690.00"
Southwest Gas Holdings,"12,720","$3,681.00"
Pitney Bowes,"11,500","$3,674.00"
Lamb Weston Holdings,"7,800","$3,671.00"
Alliant Energy,"3,313","$3,669.00"
Resolute Forest Products,"6,900","$3,664.00"
Parsons,"15,500","$3,661.00"
Trimble,"11,931","$3,659.00"
OGE Energy,"2,185","$3,654.00"
Garrett Motion,"7,600","$3,633.00"
Winnebago Industries,"6,532","$3,630.00"
Ciena,"7,205","$3,621.00"
PriceSmart,"10,400","$3,620.00"
Advantage Solutions,"45,000","$3,602.00"
H&R Block,"38,000","$3,589.00"
iHeartMedia,"9,990","$3,558.00"
Super Micro Computer,"4,155","$3,557.00"
Flowserve,"16,000","$3,541.00"
Charles River Laboratories International,"19,300","$3,540.00"
A.O. Smith,"13,700","$3,539.00"
New Residential Investment,"12,296","$3,533.00"
Medical Mutual of Ohio,"2,834","$3,515.00"
Granite Construction,"2,600","$3,502.00"
Valmont Industries,"11,041","$3,502.00"
Sprague Resources,757,"$3,498.00"
Primoris Services,"10,810","$3,498.00"
Cboe Global Markets,"1,196","$3,495.00"
Carter's,"15,900","$3,486.00"
TopBuild,"13,006","$3,486.00"
SiteOne Landscape Supply,"5,475","$3,476.00"
Texas Roadhouse,"73,300","$3,464.00"
Akamai Technologies,"8,700","$3,461.00"
Acuity Brands,"13,000","$3,461.00"
Brown-Forman,"4,700","$3,461.00"
Navient,"5,263","$3,454.00"
Coterra Energy,936,"$3,449.00"
Option Care Health,"6,334","$3,439.00"
Floor & Decor Holdings,"9,276","$3,434.00"
Public Storage,"5,800","$3,416.00"
Cabot,"4,500","$3,409.00"
Crane Holdings,"11,000","$3,408.00"
Atmos Energy,"4,684","$3,408.00"
Selective Insurance Group,"2,440","$3,379.00"
Take-Two Interactive Software,"6,495","$3,373.00"
Boyd Gaming,"15,114","$3,370.00"
Plexus,"19,200","$3,369.00"
ScanSource,"2,200","$3,364.00"
Franchise Group,"11,895","$3,363.00"
NLV Financial,"1,157","$3,351.00"
CrossAmerica Partners,"2,218","$3,351.00"
Mr. Cooper Group,"8,200","$3,344.00"
Fortinet,"10,195","$3,342.00"
Brinker International,"59,491","$3,338.00"
Albemarle,"6,000","$3,328.00"
Peabody Energy,"4,900","$3,318.00"
Light & Wonder,"5,600","$3,310.00"
Evercore,"1,940","$3,307.00"
Stewart Information Services,"7,300","$3,306.00"
Central Garden & Pet,"6,750","$3,304.00"
GMS,"5,843","$3,299.00"
H.B. Fuller,"6,500","$3,278.00"
Middleby,"10,624","$3,251.00"
Renewable Energy Group,"1,196","$3,244.00"
MSC Industrial Direct,"6,472","$3,243.00"
Vishay Intertechnology,"22,800","$3,241.00"
Applied Industrial Technologies,"5,947","$3,236.00"
Lincoln Electric Holdings,"11,000","$3,234.00"
First Horizon,"7,676","$3,234.00"
Spirit Airlines,"9,823","$3,231.00"
AptarGroup,"13,000","$3,227.00"
Citrix Systems,"9,700","$3,217.00"
IDEXX Laboratories,"10,350","$3,215.00"
Tetra Tech,"21,000","$3,214.00"
Lyft,"4,453","$3,208.00"
Gannett,"16,300","$3,208.00"
ResMed,"7,970","$3,197.00"
Designer Brands,"13,500","$3,197.00"
Graham Holdings,"15,048","$3,186.00"
Vroom,"1,807","$3,184.00"
Worthington Industries,"9,000","$3,171.00"
Calumet Specialty Products Partners,"1,450","$3,148.00"
Xilinx,"4,890","$3,148.00"
TransUnion,"10,200","$3,145.00"
Travel + Leisure,"16,800","$3,134.00"
Callaway Golf,"24,800","$3,133.00"
Dycom Industries,"15,024","$3,131.00"
Columbia Sportswear,"8,325","$3,126.00"
II-VI,"22,961","$3,106.00"
Change Healthcare,"15,000","$3,090.00"
Grocery Outlet Holding,875,"$3,080.00"
AMC Networks,"1,883","$3,078.00"
Hyster-Yale Materials Handling,"8,100","$3,076.00"
ChampionX,"7,000","$3,075.00"
Comfort Systems USA,"13,200","$3,074.00"
EQT,693,"$3,065.00"
Brown & Brown,"12,023","$3,051.00"
LGI Homes,952,"$3,050.00"
Hyatt Hotels,"44,000","$3,028.00"
Comerica,"7,442","$3,024.00"
Energizer Holdings,"6,000","$3,022.00"
Hill-Rom Holdings,"10,000","$3,019.00"
Rackspace Technology,"6,600","$3,010.00"
Verisk Analytics,"9,367","$2,999.00"
Spectrum Brands Holdings,"12,100","$2,998.00"
Euronet Worldwide,"8,800","$2,995.00"
TEGNA,"6,200","$2,991.00"
Vontier,"8,500","$2,991.00"
Cadence Design Systems,"9,298","$2,988.00"
Incyte,"2,094","$2,986.00"
Match Group,"2,520","$2,983.00"
Valvoline,"9,800","$2,981.00"
EnerSys,"11,400","$2,978.00"
Avaya Holdings,"8,063","$2,973.00"
UWM Holdings,"8,000","$2,970.00"
Zions Bancorp.,"9,685","$2,970.00"
Quad/Graphics,"15,100","$2,960.00"
MKS Instruments,"6,200","$2,950.00"
Arista Networks,"2,993","$2,948.00"
Interactive Brokers Group,"2,571","$2,938.00"
Range Resources,527,"$2,930.00"
Atkore,"3,700","$2,928.00"
Cheesecake Factory,"45,800","$2,928.00"
First Solar,"4,800","$2,923.00"
Bio-Rad Laboratories,"7,900","$2,923.00"
Cooper Cos.,"12,000","$2,923.00"
Envista Holdings,"11,200","$2,922.00"
Alight,"16,000","$2,915.00"
Newmark Group,"6,169","$2,906.00"
PC Connection,"2,542","$2,893.00"
Host Hotels & Resorts,160,"$2,890.00"
Boston Properties,743,"$2,889.00"
Western Midstream Partners,"1,127","$2,877.00"
Magellan Midstream Partners,"1,715","$2,870.00"
Hillenbrand,"10,500","$2,865.00"
Donaldson,"13,100","$2,854.00"
Moog,"14,000","$2,852.00"
Hawaiian Electric Industries,"3,623","$2,850.00"
Five Below,"13,150","$2,848.00"
Twilio,"7,867","$2,842.00"
Univision Communciations,-,"$2,841.00"
Annaly Capital Management,171,"$2,836.00"
Fleetcor Technologies,"9,700","$2,834.00"
West Pharmaceutical Services,"10,065","$2,832.00"
Green Plains,859,"$2,827.00"
Cracker Barrel Old Country Store,"70,000","$2,821.00"
Virtu Financial,973,"$2,812.00"
Teleflex,"14,000","$2,810.00"
Zynga,"2,952","$2,801.00"
Allegheny Technologies,"6,300","$2,800.00"
AppLovin,"1,594","$2,793.00"
Waters,"7,800","$2,786.00"
Mutual of America Life Insurance,"1,146","$2,785.00"
Hovnanian Enterprises,"1,784","$2,783.00"
Amica Mutual Insurance,"3,510","$2,778.00"
Caleres,"7,200","$2,778.00"
FTI Consulting,"6,780","$2,776.00"
Overstock.com,"1,350","$2,774.00"
Visteon,"10,000","$2,773.00"
G-III Apparel Group,"3,250","$2,767.00"
ITT,"9,900","$2,765.00"
IDEX,"7,536","$2,765.00"
Popular,"8,351","$2,765.00"
Roku,"3,000","$2,765.00"
Schnitzer Steel Industries,"3,167","$2,759.00"
Brookdale Senior Living,"28,545","$2,758.00"
Werner Enterprises,"13,525","$2,734.00"
Americold Realty Trust,"16,275","$2,715.00"
SkyWest,"15,205","$2,714.00"
Primerica,"3,170","$2,710.00"
McAfee,"2,262","$2,701.00"
Nu Skin Enterprises,"19,600","$2,696.00"
Copart,"8,600","$2,693.00"
PROG Holdings,"2,023","$2,678.00"
Splunk,"7,000","$2,674.00"
MRC Global,"2,600","$2,666.00"
Stericycle,"15,465","$2,647.00"
Maxim Integrated Products,"7,100","$2,633.00"
Ensign Group,"25,900","$2,628.00"
SM Energy,506,"$2,623.00"
Kaiser Aluminum,"3,957","$2,622.00"
Federated Mutual Insurance,"2,702","$2,612.00"
F5,"6,429","$2,603.00"
Steelcase,"11,400","$2,596.00"
Encore Wire,"1,440","$2,593.00"
Guess,"12,500","$2,592.00"
Playtika Holding,"4,000","$2,583.00"
Pinterest,"3,225","$2,578.00"
WeWork,"4,400","$2,570.00"
ManTech International,"9,800","$2,554.00"
BrightView Holdings,"20,150","$2,554.00"
NortonLifeLock,"2,800","$2,552.00"
Deckers Outdoor,"3,400","$2,546.00"
Griffon,"6,700","$2,542.00"
AMC Entertainment Holdings,"17,122","$2,528.00"
Curtiss-Wright,"7,800","$2,506.00"
MYR Group,"7,600","$2,498.00"
Kontoor Brands,"14,000","$2,476.00"
Liberty Energy,"3,601","$2,471.00"
Knights of Columbus,749,"$2,468.00"
AdaptHealth,"10,700","$2,465.00"
MillerKnoll,"7,600","$2,465.00"
Equity Residential,"2,400","$2,464.00"
DexCom,"6,650","$2,449.00"
Rollins,"16,482","$2,424.00"
Genesco,"11,700","$2,422.00"
Bruker,"7,765","$2,418.00"
Joann,"13,530","$2,418.00"
Wolverine World Wide,"4,400","$2,415.00"
Gray Television,"8,801","$2,413.00"
Affiliated Managers Group,"4,050","$2,412.00"
Summit Materials,"5,500","$2,410.00"
SLM,"1,450","$2,409.00"
Belden,"7,400","$2,408.00"
Allison Transmission Holdings,"3,400","$2,402.00"
Element Solutions,"5,300","$2,400.00"
Portland General Electric,"2,839","$2,396.00"
REV Group,"6,800","$2,381.00"
Acadia Healthcare,"19,200","$2,377.00"
Alexandria Real Estate Equities,559,"$2,374.00"
Nordson,"6,813","$2,362.00"
NewMarket,"2,104","$2,356.00"
Ohio National Mutual,"1,082","$2,347.00"
Stepan,"2,439","$2,346.00"
Valhi,"2,847","$2,335.00"
Hilton Grand Vacations,"13,000","$2,335.00"
Cooper-Standard Holdings,"21,300","$2,330.00"
Etsy,"2,402","$2,329.00"
Crocs,"5,770","$2,313.00"
Olympic Steel,"1,642","$2,312.00"
Signature Bank,"1,854","$2,311.00"
SBA Communications,"1,596","$2,309.00"
Murphy Oil,696,"$2,300.00"
Entegris,"6,850","$2,299.00"
AvalonBay Communities,"2,883","$2,295.00"
Saia,"11,600","$2,289.00"
E.W. Scripps,"5,600","$2,284.00"
TTEC Holdings,"65,000","$2,273.00"
Sun Communities,"5,455","$2,273.00"
Alpha Metallurgical Resources,"3,500","$2,259.00"
GEO Group,"15,800","$2,257.00"
Viasat,"5,800","$2,256.00"
Benchmark Electronics,"10,900","$2,255.00"
Kar Auction Services,"8,928","$2,252.00"
TTM Technologies,"16,100","$2,249.00"
Kirby,"5,125","$2,247.00"
Woodward,"7,200","$2,246.00"
Clear Channel Outdoor Holdings,"4,600","$2,241.00"
Spire,"3,710","$2,236.00"
Vista Outdoor,"5,900","$2,226.00"
Surgery Partners,"9,600","$2,225.00"
LHC Group,"23,000","$2,220.00"
Amedisys,"21,000","$2,214.00"
Century Aluminum,"2,512","$2,213.00"
Arch Resources,"3,303","$2,208.00"
Aerojet Rocketdyne Holdings,"5,000","$2,188.00"
Sleep Number,"5,388","$2,185.00"
HNI,"8,000","$2,184.00"
Pure Storage,"4,200","$2,181.00"
TrueBlue,"6,400","$2,174.00"
Party City Holdco,"11,450","$2,171.00"
Dun & Bradstreet Holdings,"6,296","$2,166.00"
Dropbox,"2,667","$2,158.00"
New Jersey Resources,"1,251","$2,157.00"
Acushnet Holdings,"6,500","$2,148.00"
Harsco,"12,000","$2,147.00"
Beazer Homes USA,"1,052","$2,140.00"
Chemed,"14,137","$2,139.00"
Genesis Energy,"1,898","$2,126.00"
BWX Technologies,"6,600","$2,124.00"
Vizio Holding,800,"$2,124.00"
1-800-Flowers.com,"4,800","$2,122.00"
Cowen,"1,534","$2,113.00"
Ashland Global Holdings,"4,100","$2,111.00"
DocuSign,"7,461","$2,107.00"